LAKE,SECTOR,BG,WS,WE,RB,PS,YP,NP,LP,LMB,WC,GS,MD,BC,MU,SMB,RH,BH,SH
AL,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,2,17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,16,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AL,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,20,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,21,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL,22,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL,23,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BI,1,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,2,15,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
BI,4,6,1,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0
BI,9,16,0,2,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
BI,10,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BI,12,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,2,0,0,0,0,7,18,0,0,1,0,2,0,0,0,0,0,0,0
CO,4,1,0,0,0,8,12,0,0,0,0,0,1,0,0,0,0,0,0
CO,5,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0
CO,6,0,0,0,0,33,35,0,0,0,0,3,0,0,0,0,0,0,0
CO,7,0,2,0,1,13,54,0,0,0,1,12,0,0,0,0,0,0,0
CO,8,0,1,0,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0
CO,9,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0
CO,12,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0
CR,1,18,3,8,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0
CR,5,27,1,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
CR,7,12,5,0,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0
CR,8,18,0,0,0,3,17,0,0,0,0,0,0,0,2,0,0,0,0
CR,9,1,2,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0
GR,1,15,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
GR,4,29,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0
GR,5,34,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
GR,6,38,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
GR,11,47,0,0,2,13,13,0,0,1,0,0,0,0,0,0,0,0,0
HI,1,13,1,0,1,4,2,0,0,1,0,0,0,0,6,0,0,0,0
HI,3,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HI,4,5,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0
HI,5,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HI,7,6,1,6,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0
HI,9,0,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0
HI,10,1,0,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HI,14,5,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
HI,16,3,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HI,21,18,1,8,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
HI,23,7,1,3,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0
